fuck you,dt,vx,vy,yaw,dx,dy,"x,y"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":122853.149,""accelerometers"":{""x"":93.0348892211914,""y"":23.091981887817383,""z"":-960.27978515625},""gyroscopes"":{""x"":0.008807655423879623,""y"":-0.012517435476183891,""z"":0.01947220228612423},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.825,""leftRightDegrees"":5.843,""clockwiseDegrees"":-1.836,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":122858.001,""accelerometers"":{""x"":94.11762237548828,""y"":22.694297790527344,""z"":-962.06982421875},""gyroscopes"":{""x"":-0.02191014587879181,""y"":-0.04966490715742111,""z"":0.03220542147755623},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.825,""leftRightDegrees"":5.843,""clockwiseDegrees"":-1.836,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":122877.99,""accelerometers"":{""x"":93.26545715332031,""y"":25.83428955078125,""z"":-969.36474609375},""gyroscopes"":{""x"":0.03351645916700363,""y"":0.12505902349948883,""z"":-0.014869174920022488},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.826,""leftRightDegrees"":5.843,""clockwiseDegrees"":-1.836,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":123017.883,""accelerometers"":{""x"":93.34390258789062,""y"":25.53445816040039,""z"":-968.13330078125},""gyroscopes"":{""x"":0.029199326410889626,""y"":-0.0014448018046095967,""z"":-0.026570530608296394},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.823,""leftRightDegrees"":5.838,""clockwiseDegrees"":-1.838,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":123035.064,""accelerometers"":{""x"":93.32917785644531,""y"":25.505142211914062,""z"":-968.13037109375},""gyroscopes"":{""x"":0.016629070043563843,""y"":-0.013039684854447842,""z"":-0.011283486150205135},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.822,""leftRightDegrees"":5.838,""clockwiseDegrees"":-1.838,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":123037.75,""accelerometers"":{""x"":93.35636138916016,""y"":25.485836029052734,""z"":-968.13037109375},""gyroscopes"":{""x"":-0.00409210380166769,""y"":-0.005717738997191191,""z"":0.009949457831680775},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.822,""leftRightDegrees"":5.837,""clockwiseDegrees"":-1.838,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":123042.694,""accelerometers"":{""x"":93.38872528076172,""y"":25.45778465270996,""z"":-968.1318359375},""gyroscopes"":{""x"":-0.026969315484166145,""y"":0.002967307111248374,""z"":-0.00003203318556188606},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.822,""leftRightDegrees"":5.837,""clockwiseDegrees"":-1.838,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":123257.171,""accelerometers"":{""x"":93.5245132446289,""y"":25.402673721313477,""z"":-968.1259765625},""gyroscopes"":{""x"":-0.028728323057293892,""y"":-0.02464759536087513,""z"":-0.03655198961496353},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.822,""leftRightDegrees"":5.835,""clockwiseDegrees"":-1.839,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":123262.176,""accelerometers"":{""x"":93.51268005371094,""y"":25.441844940185547,""z"":-968.13525390625},""gyroscopes"":{""x"":0.0042818947695195675,""y"":-0.006884023547172546,""z"":-0.026569142937660217},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.822,""leftRightDegrees"":5.835,""clockwiseDegrees"":-1.84,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":123267.211,""accelerometers"":{""x"":93.48609924316406,""y"":25.453277587890625,""z"":-968.1279296875},""gyroscopes"":{""x"":0.05675719678401947,""y"":-0.005332550033926964,""z"":-0.0006610475829802454},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.822,""leftRightDegrees"":5.835,""clockwiseDegrees"":-1.84,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":123411.895,""accelerometers"":{""x"":93.47994232177734,""y"":24.359664916992188,""z"":-959.0439453125},""gyroscopes"":{""x"":0.016460970044136047,""y"":-0.0021384928841143847,""z"":-0.05043208971619606},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.824,""leftRightDegrees"":5.842,""clockwiseDegrees"":-1.841,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
