timestamp,ctrlState,flyState,a_x,a_y,a_z,g_x,g_y,g_z,front_back_deg,left_right_deg,clockwise_deg
depth,1550027153.141848,44
depth,1550027153.151799,44
depth,1550027153.161961,44
depth,1550027153.178918,43
depth,1550027153.182661,43
depth,1550027153.191764,43
depth,1550027153.201835,43
depth,1550027153.211967,43
depth,1550027153.228904,42
depth,1550027153.233073,42
depth,1550027153.241815,42
depth,1550027153.252471,41
depth,1550027153.261995,41
depth,1550027153.278893,41
depth,1550027153.282643,40
depth,1550027153.291761,40
depth,1550027153.302339,40
depth,1550027153.311986,39
depth,1550027153.328864,39
depth,1550027153.332643,38
depth,1550027153.341873,38
depth,1550027153.352325,37
depth,1550027153.361937,37
depth,1550027153.378912,36
depth,1550027153.382647,36
depth,1550027153.391794,35
depth,1550027153.402308,34
depth,1550027153.411961,34
depth,1550027153.428907,33
depth,1550027153.432675,33
depth,1550027153.441792,32
depth,1550027153.452444,32
depth,1550027153.461953,31
depth,1550027153.478923,30
depth,1550027153.482678,30
depth,1550027153.491761,30
depth,1550027153.502396,30
depth,1550027153.511973,30
depth,1550027153.528896,30
depth,1550027153.532721,30
depth,1550027153.541796,30
depth,1550027153.552073,30
depth,1550027153.561991,30
depth,1550027153.578882,30
depth,1550027153.582699,30
depth,1550027153.591788,30
depth,1550027153.602296,30
depth,1550027153.612002,30
depth,1550027153.628918,30
depth,1550027153.632981,30
depth,1550027153.641786,30
depth,1550027153.652199,30
depth,1550027153.661976,30
depth,1550027153.678918,30
depth,1550027153.683141,30
depth,1550027153.691784,30
depth,1550027153.70197,30
depth,1550027153.711958,30
depth,1550027153.729213,30
depth,1550027153.733282,30
depth,1550027153.741817,30
depth,1550027153.751836,30
depth,1550027153.761951,30
depth,1550027153.778921,30
depth,1550027153.783419,30
depth,1550027153.791767,30
depth,1550027153.801766,30
depth,1550027153.811957,30
depth,1550027153.828937,30
depth,1550027153.832658,30
depth,1550027153.841798,30
depth,1550027153.852142,30
depth,1550027153.861949,30
depth,1550027153.878952,30
depth,1550027153.882647,30
depth,1550027153.891815,30
depth,1550027153.902077,30
depth,1550027153.912007,30
depth,1550027153.928884,30
depth,1550027153.932671,30
1892382.385,CTRL_LANDED,FLYING_OK,58.39573287963867,27.573617935180664,-974.879150390625,-9.145949363708496,-1.7445647716522217,-2.8580944538116455,3.416,-0.354,159.522
depth,1550027153.948603,30
depth,1550027153.952948,30
depth,1550027153.961952,30
depth,1550027153.978851,30
depth,1550027153.983342,30
depth,1550027153.991787,30
depth,1550027154.001765,30
depth,1550027154.011977,30
depth,1550027154.028866,30
depth,1550027154.03266,30
depth,1550027154.041791,30
1892482.208,CTRL_LANDED,FLYING_OK,128.77857971191406,11.714761734008789,-1011.5194702148438,-3.048768997192383,-15.842547416687012,-0.5979958772659302,2.874,-0.623,159.316
depth,1550027154.052111,30
depth,1550027154.061975,30
depth,1550027154.078918,30
depth,1550027154.082735,30
depth,1550027154.091797,30
depth,1550027154.102346,30
depth,1550027154.111982,30
depth,1550027154.128872,30
depth,1550027154.132702,30
depth,1550027154.141801,31
1892581.97,CTRL_LANDED,FLYING_OK,54.40031814575195,33.42169952392578,-968.1573486328125,-5.079337120056152,-3.4760963916778564,1.6895666122436523,1.984,-0.741,159.337
depth,1550027154.152122,32
depth,1550027154.161976,32
depth,1550027154.178902,33
depth,1550027154.183506,34
depth,1550027154.191798,35
depth,1550027154.2018,35
depth,1550027154.211939,36
depth,1550027154.228884,37
depth,1550027154.233113,37
depth,1550027154.24197,38
1892681.976,CTRL_LANDED,FLYING_OK,95.0589599609375,27.649578094482422,-944.9327392578125,-4.344357967376709,4.979674339294434,-1.5238271951675415,2.09,-1.347,159.358
depth,1550027154.251876,38
depth,1550027154.261942,39
depth,1550027154.278874,40
depth,1550027154.283505,40
depth,1550027154.291745,41
depth,1550027154.301781,41
depth,1550027154.311958,42
depth,1550027154.328876,42
depth,1550027154.333342,43
depth,1550027154.341799,43
1892781.799,CTRL_LANDED,FLYING_OK,59.93257522583008,-2.7010040283203125,-979.66796875,-0.6878982186317444,8.314101219177246,-5.535815238952637,2.984,-1.545,159.083
depth,1550027154.351799,43
depth,1550027154.361973,44
depth,1550027154.378871,44
depth,1550027154.382734,44
depth,1550027154.39209,45
depth,1550027154.401771,45
depth,1550027154.411946,45
depth,1550027154.428881,46
depth,1550027154.433097,46
depth,1550027154.441782,47
depth,1550027154.455822,48
depth,1550027154.462048,48
depth,1550027154.479025,49
depth,1550027154.483358,49
depth,1550027154.496033,50
depth,1550027154.501923,50
depth,1550027154.511988,50
depth,1550027154.528882,51
depth,1550027154.532661,52
depth,1550027154.541756,52
depth,1550027154.552378,53
depth,1550027154.561918,53
depth,1550027154.578884,54
depth,1550027154.582756,54
depth,1550027154.591767,55
depth,1550027154.602327,55
depth,1550027154.612007,56
depth,1550027154.62885,56
depth,1550027154.63286,57
depth,1550027154.641735,58
depth,1550027154.65204,58
depth,1550027154.661937,59
depth,1550027154.678913,59
depth,1550027154.682837,60
depth,1550027154.691992,60
depth,1550027154.701783,61
depth,1550027154.711984,61
depth,1550027154.729535,62
depth,1550027154.733331,62
depth,1550027154.74254,63
depth,1550027154.751805,64
depth,1550027154.761955,64
depth,1550027154.778892,65
depth,1550027154.783154,65
depth,1550027154.791762,66
depth,1550027154.802817,66
depth,1550027154.811956,67
depth,1550027154.82887,67
depth,1550027154.832726,67
depth,1550027154.841825,67
depth,1550027154.852423,68
depth,1550027154.861937,68
depth,1550027154.878879,69
depth,1550027154.883216,69
depth,1550027154.891933,70
